t,round,my_cash,my_eco,opp_eco,opp_eco_income,opp_send_spend,opp_tower_spend,opp_cash,opp_cash_ceiling,sends,tick_period,payout_ratio,trk_red,trk_blue,trk_green,trk_yellow,trk_pink
1.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,7,0,0
2.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,11,0,0
3.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0
4.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0
5.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,26,0,0,143,0
6.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,1381,76710,9,1483,0
7.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,3460,400,1551,7575,0
8.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,3604,397,1503,7312,0
9.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,3494,388,1503,7287,0
10.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,192,0,33,26,0
11.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,8,0,20,1626,0
12.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,6,0,26,1594,0
13.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,17,25,25,2025,0
14.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,4,0,27,525,0
15.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,3,0,27,527,0
16.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,25,39,0
17.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,67,57,0
18.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,1,1,44,50,0
19.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,1,0,34,22,0
20.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,522,416,8542,4788,0
21.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,519,416,8563,4469,0
22.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,444,160,13815,1773,0
23.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,512,160,14047,2036,0
24.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,446,135,14313,2021,0
25.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,2,0,122,345,0
26.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,4,0,64,23,0
27.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,5,0,60,22,0
28.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,1,0,59,24,0
29.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,4,0,89,165,0
30.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,6,224,122,98,0
31.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,1,192,132,127,0
32.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,2,192,123,164,0
33.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,75,107,0
34.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,1,0,75,77,0
35.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,1,0,69,62,0
36.3,,,,0.0,0,0,0,0,0,0,6.00,1.000,0,0,0,0,0
37.3,,,250,0.0,0,0,0,0,0,0,6.00,1.000,7,50,9153,227,0
38.4,1,650,250,250.0,0,0,0,650,650,0,6.00,1.000,99,0,0,0,0
39.3,1,650,250,250.0,0,0,0,650,650,0,6.00,1.000,122,0,0,0,0
40.3,1,650,250,250.0,0,0,0,650,650,0,6.00,1.000,122,0,0,0,0
41.3,1,650,250,250.0,0,0,0,650,650,0,6.00,1.000,122,0,0,0,0
42.3,1,650,250,250.0,0,0,1200,0,650,0,6.00,1.000,0,0,0,0,0
43.3,1,650,250,250.0,0,0,1200,0,650,0,6.00,1.000,0,0,0,0,0
44.3,1,650,250,250.0,250,0,2400,0,900,0,6.00,1.000,0,0,0,0,0
45.3,1,650,250,250.0,250,0,3600,0,900,0,6.00,1.000,0,0,0,0,0
46.3,1,900,250,250.0,250,0,3600,0,900,0,6.00,1.000,0,0,0,0,0
47.3,1,900,250,250.0,250,0,4800,0,900,0,6.00,1.000,139,0,0,0,0
48.3,1,900,250,250.0,250,0,6000,0,900,0,6.00,1.000,404,0,0,0,0
